CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-01 00:00,m,321,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-02 00:00,m,321,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-03 00:00,m,318,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-04 00:00,m,315,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-05 00:00,m,311,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-06 00:00,m,308,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-07 00:00,m,305,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-08 00:00,m,302,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-09 00:00,m,299,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-10 00:00,m,296,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-11 00:00,m,293,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-12 00:00,m,290,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-13 00:00,m,286,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-14 00:00,m,283,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-15 00:00,m,280,Definitivo
25027760,BEIRUT - AUT [25027760],NIVEL,Nivel mínimo diario,2016-01-16 00:00,m,277,Definitivo
