No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,snow,rain,pm_state
1,2010,1,1,0,,-21,-11.0,1021.0,NW,1.79,no,no,
2,2010,1,1,1,,-21,-12.0,1020.0,NW,4.92,no,no,
3,2010,1,1,2,,-21,-11.0,1019.0,NW,6.71,no,no,
4,2010,1,1,3,,-21,-14.0,1019.0,NW,9.84,no,no,
5,2010,1,1,4,,-20,-12.0,1018.0,NW,12.97,no,no,
6,2010,1,1,5,,-19,-10.0,1017.0,NW,16.1,no,no,
7,2010,1,1,6,,-19,-9.0,1017.0,NW,19.23,no,no,
8,2010,1,1,7,,-19,-9.0,1017.0,NW,21.02,no,no,
9,2010,1,1,8,,-19,-9.0,1017.0,NW,24.15,no,no,
10,2010,1,1,9,,-20,-8.0,1017.0,NW,27.28,no,no,
11,2010,1,1,10,,-19,-7.0,1017.0,NW,31.3,no,no,
12,2010,1,1,11,,-18,-5.0,1017.0,NW,34.43,no,no,
13,2010,1,1,12,,-19,-5.0,1015.0,NW,37.56,no,no,
14,2010,1,1,13,,-18,-3.0,1015.0,NW,40.69,no,no,
15,2010,1,1,14,,-18,-2.0,1014.0,NW,43.82,no,no,
16,2010,1,1,15,,-18,-1.0,1014.0,cv,0.89,no,no,
17,2010,1,1,16,,-19,-2.0,1015.0,NW,1.79,no,no,
18,2010,1,1,17,,-18,-3.0,1015.0,NW,2.68,no,no,
19,2010,1,1,18,,-18,-5.0,1016.0,NE,1.79,no,no,
20,2010,1,1,19,,-17,-4.0,1017.0,NW,1.79,no,no,
21,2010,1,1,20,,-17,-5.0,1017.0,cv,0.89,no,no,
22,2010,1,1,21,,-17,-5.0,1018.0,NW,1.79,no,no,
23,2010,1,1,22,,-17,-5.0,1018.0,NW,2.68,no,no,
24,2010,1,1,23,,-17,-5.0,1020.0,cv,0.89,no,no,
25,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,no,no,Episodio de Polución
26,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,no,no,Episodio de Polución
27,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,no,no,Alta Polución
28,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,si,no,Alta Polución
29,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,si,no,Episodio de Polución
30,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,si,no,Episodio de Polución
31,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,si,no,Episodio de Polución
32,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,no,no,Episodio de Polución
33,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,no,no,Episodio de Polución
34,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,no,no,Episodio de Polución
35,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,si,no,Episodio de Polución
36,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,no,no,Alta Polución
37,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,no,no,Episodio de Polución
38,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,no,no,Alta Polución
39,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,no,no,Alta Polución
40,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,no,no,Alta Polución
41,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,no,no,Alta Polución
42,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,no,no,Alta Polución
43,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,no,no,Alta Polución
44,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,no,no,Episodio de Polución
45,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,no,no,Alta Polución
46,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,si,no,Alta Polución
47,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,si,no,Alta Polución
48,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,si,no,Episodio de Polución
49,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,si,no,Episodio de Polución
50,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,si,no,Episodio de Polución
51,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,si,no,Episodio de Polución
52,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,si,no,Episodio de Polución
53,2010,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,si,no,Episodio de Polución
54,2010,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,si,no,Episodio de Polución
